code,description
V03,Need for prophylactic vaccination and inoculation against bacterial diseases
E853,Accidental poisoning by tranquilizers
E968,Assault by other and unspecified means
E882,Accidental fall from or out of building or other structure
140,Malignant neoplasm of lip
E821,Nontraffic accident involving other off-road motor vehicle
V69,Problems related to lifestyle
670,Major puerperal infection
268,Vitamin d deficiency
894,Multiple and unspecified open wound of lower limb
260,Kwashiorkor
V86,Estrogen receptor status
E945,Agents primarily acting on the smooth and skeletal muscles and respiratory system causing adverse effects in therapeutic use
270,Disorders of amino-acid transport and metabolism
460,Acute nasopharyngitis [common cold]
364,Disorders of iris and ciliary body
E883,Accidental fall into hole or other opening in surface
123,Other cestode infection
884,Multiple and unspecified open wound of upper limb
927,Crushing injury of upper limb
V27,Outcome of delivery
525,Other diseases and conditions of the teeth and supporting structures
315,Specific delays in development
139,Late effects of other infectious and parasitic diseases
313,Disturbance of emotions specific to childhood and adolescence
E949,Other vaccines and biological substances causing adverse effects in therapeutic use
122,Echinococcosis
E920,Accidents caused by cutting and piercing instruments or objects
387,Otosclerosis
E956,Suicide and self-inflicted injury by cutting and piercing instrument
E904,Accident due to hunger thirst exposure and neglect
E943,Agents primarily affecting gastrointestinal system causing adverse effects in therapeutic use
E861,Accidental poisoning by cleansing and polishing agents disinfectants paints and varnishes
951,Injury to other cranial nerve(s)
697,Lichen
943,Burn of upper limb except wrist and hand
744,Congenital anomalies of ear face and neck
V22,Normal pregnancy
E852,Accidental poisoning by other sedatives and hypnotics
243,Congenital hypothyroidism
E876,Other and unspecified misadventures during medical care
956,Injury to peripheral nerve(s) of pelvic girdle and lower limb
E855,Accidental poisoning by other drugs acting on central and autonomic nervous system
265,Thiamine and niacin deficiency states
597,Urethritis not sexually transmitted and urethral syndrome
E815,Other motor vehicle traffic accident involving collision on the highway
E822,Other motor vehicle nontraffic accident involving collision with moving object
365.44,Glaucoma w systemic synd
E894,Ignition of highly inflammable material
930,Foreign body on external eye
132,Pediculosis and phthirus infestation
V01,Contact with or exposure to communicable diseases
E828,Accident involving animal being ridden
E865,Accidental poisoning from foodstuffs and poisonous plants
E946,Agents primarily affecting skin and mucous membrane ophthalmological otorhinolaryngological and dental drugs causing adverse effects in therapeutic use
E966,Assault by cutting and piercing instrument
E922,Accident caused by firearm and air gun missile
757,Congenital anomalies of the integument
E901,Accidents due to excessive cold
E892,Conflagration not in building or structure
E886,"Fall on same level from collision, pushing, or shoving, by or with other person"
624,Noninflammatory disorders of vulva and perineum
E987,Falling from high place undetermined whether accidentally or purposely inflicted
841,Sprains and strains of elbow and forearm
E912,Inhalation and ingestion of other object causing obstruction of respiratory tract or suffocation
E955,Suicide and self-inflicted injury by firearms air guns and explosives
V06,Need for prophylactic vaccination and inoculation against combinations of diseases
E864,Accidental poisoning by corrosives and caustics not elsewhere classified
877,Open wound of buttock
E825,Other motor vehicle nontraffic accident of other and unspecified nature
538,Gastrointestinal mucositis (ulcerative)
876,Open wound of back
